sub_area,area_m,popul,young_all,work_all,ekder_all,green_zone_part,indust_part,healthcare_centers,university_top_20,thermal_power_plant,incineration,oil_chemistry,radiation,railroad_terminal,big_market,nuclear_reactor,avg_houseprice
Ajeroport,4662813.07,73007,0.125344145,0.604955689,0.269700166,0.11,0.05,0,1,0,0,0,0,0,0,0,9888950.06
Akademicheskoe,5704502.19,106445,0.113429471,0.643693926,0.242876603,0.04,0.15,4,0,1,0,0,1,0,0,1,10893999.9
Alekseevskoe,5234028.17,78418,0.104389298,0.674832309,0.220778393,0.04,0.2,2,0,0,0,0,1,0,0,0,8978795.6
Altuf'evskoe,3294351.98,55125,0.147664399,0.627863946,0.224471655,0.02,0.3,1,0,0,0,0,1,0,0,0,5516201.69
Arbat,2081627.76,28179,0.106249335,0.610703006,0.28304766,0.01,0,1,0,0,0,0,0,0,0,0,15794800
Babushkinskoe,4934147.22,86206,0.112915574,0.609702341,0.277382085,0.12,0.12,1,0,0,0,0,0,0,0,0,7637641.73
Begovoe,4048456.78,41504,0.116663454,0.624831342,0.258505204,0,0.33,1,0,0,0,0,0,0,0,0,10623608.65
Beskudnikovskoe,3292112.22,73148,0.127248865,0.607658446,0.265092689,0.06,0.09,1,0,0,0,0,0,0,0,0,6770740.97
Bibirevo,6407578.1,155572,0.135975625,0.631263981,0.232760394,0.19,0,1,0,0,0,0,0,0,0,0,6670177.26
Birjulevo Vostochnoe,14795571.25,145088,0.145635752,0.641045434,0.213318813,0.31,0.05,2,0,0,0,0,1,0,0,0,5522693.21
Birjulevo Zapadnoe,8464344.05,85721,0.143173785,0.640613152,0.216213063,0.08,0.52,0,0,1,1,0,1,0,0,0,5174179.01
Bogorodskoe,8659075.46,104410,0.133100278,0.568585385,0.298314338,0.42,0.07,1,0,0,0,0,1,0,0,0,6414163.5
Brateevo,7587523.23,102590,0.122341359,0.680300224,0.197358417,0.4,0,0,0,0,0,0,1,0,1,0,6732381.18
Caricyno,8287309.44,125354,0.094994974,0.673189527,0.231815499,0.07,0.27,3,0,0,0,0,1,0,0,0,5840068.18
Cheremushki,5467178.31,102618,0.122044865,0.641037635,0.2369175,0.06,0.14,3,0,0,0,0,1,0,0,0,9030183.54
Chertanovo Central'noe,6879019.64,112221,0.148982811,0.608210584,0.242806605,0.06,0.28,0,0,0,0,0,0,0,0,0,7303110.32
Chertanovo Juzhnoe,9282438.66,143661,0.124111624,0.649508217,0.226380159,0.15,0.13,3,0,0,0,0,0,0,0,0,7064347.96
Chertanovo Severnoe,6206098.89,111874,0.119116149,0.657015929,0.223867923,0.13,0.09,0,0,0,0,0,0,0,0,0,7786558.73
Danilovskoe,12495435.25,91100,0.135784852,0.598002195,0.266212953,0.03,0.34,3,0,1,0,0,0,0,0,0,10048985.3
Dmitrovskoe,7126815.29,87713,0.109493462,0.702290424,0.188216114,0.13,0.46,1,0,1,0,0,0,0,0,1,5718275.86
Donskoe,5686537.4,48439,0.145192923,0.593261628,0.261545449,0.07,0,0,0,0,0,0,1,0,0,0,12353644.15
Filevskij Park,9629358.47,89467,0.092704573,0.727810254,0.179485173,0.34,0.24,3,0,0,0,0,1,0,0,0,8698197.84
Fili Davydkovo,6982964.49,111374,0.139170722,0.589123135,0.271706143,0.35,0,2,0,0,0,0,1,0,0,0,8690294.89
Gagarinskoe,5540725.6,76670,0.102386853,0.611503848,0.2861093,0.27,0,0,0,0,0,0,1,0,0,0,12851683.06
Gol'janovo,14286990.83,157010,0.107196994,0.625820011,0.266982995,0.39,0.19,3,0,0,0,0,1,0,0,0,5792339.82
