area_m,popul,young_all,ekder_all,green_zone_part,indust_part,healthcare_centers,university_top_20,avg_houseprice,1,2,8,9,10,11,13,16,24,25,32,36,40,64,65,72,73
1.979885333,10.25353122,-1.854510815,-0.945949368,-1.992430165,-2.751535313,0,1,9888950.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.979967728,10.56787221,-1.96034726,-1.083328727,-2.944438979,-1.658228077,4,0,10893999.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.979933579,10.31328015,-2.04666994,-1.203921191,-2.944438979,-1.324925415,2,0,8978795.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.979722128,10.01808558,-1.675709794,-1.183231536,-3.47609869,-0.8001193,1,0,5516201.69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.979457529,9.45145086,-2.028437646,-0.880627994,-3.891820298,-4.59511985,1,0,15794800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.979909298,10.39230171,-1.965105525,-0.908132756,-1.900958761,-1.900958761,1,0,7637641.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.979822394,9.779166205,-1.930787386,-1.002219811,-4.59511985,-0.663294217,1,0,10623608.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.97972178,10.25514451,-1.838330467,-0.968935708,-2.586689344,-2.197224577,1,0,6770740.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.980011547,10.88231335,-1.76652008,-1.1376048,-1.386294361,-4.59511985,1,0,6670177.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.980261398,10.82464569,-1.691065621,-1.246429548,-0.753771802,-2.751535313,2,0,5522693.21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.980106614,10.38759651,-1.70992237,-1.229819249,-2.313634929,0.120144312,0,0,5174179.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
